  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.000000000000002665E+00  2.236681987811218601E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500034831448640601E-11  2.500000000000032196E-01
  7.966060623592180132E-03  1.000000000000002665E+00  2.236681987551547866E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.393879380889196722E-11  2.500000000010647594E-01
  2.194130566684748124E-02  1.000000000000003109E+00  2.236681987568321215E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.218419515948056696E-11  2.500000000028193559E-01
  3.591655913189854138E-02  1.000000000000002665E+00  2.236681987417228275E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.055819935696969845E-11  2.500000000044452775E-01
  4.989181735276670970E-02  1.000000000000002665E+00  2.236681987415155799E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  1.905138092635938377E-11  2.500000000059521277E-01
  6.386708337151925097E-02  1.000000000000002442E+00  2.236681987588984897E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  1.765500448983379393E-11  2.500000000073485107E-01
  7.784235381990471658E-02  1.000000000000002442E+00  2.236681987696961694E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  1.636097556617019017E-11  2.500000000086425311E-01
  9.181763145753485400E-02  1.000000000000002220E+00  2.236681987715485047E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  1.516179237590735970E-11  2.500000000098417385E-01
  1.057929132506830738E-01  1.000000000000001998E+00  2.236681987811533640E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  1.405050347749643911E-11  2.500000000109529608E-01
  1.197682016433686963E-01  1.000000000000001998E+00  2.236681987822480213E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  1.302066648751047676E-11  2.500000000119828036E-01
  1.337434939610802620E-01  1.000000000000001554E+00  2.236681987778780196E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  1.206631159313870022E-11  2.500000000129372624E-01
  1.477187923090571564E-01  1.000000000000001332E+00  2.236681987738929155E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  1.118190620327912549E-11  2.500000000138216660E-01
  1.616940943894216443E-01  1.000000000000001332E+00  2.236681987826477821E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  1.036232351603216969E-11  2.500000000146412327E-01
  1.756694019546894414E-01  1.000000000000001110E+00  2.236681987920039380E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  9.602812253934755235E-12  2.500000000154007362E-01
  1.896447130900759115E-01  1.000000000000000444E+00  2.236681987865943707E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  8.898969583628893042E-12  2.500000000161044511E-01
  2.036200291896639314E-01  1.000000000000000444E+00  2.236681987927062338E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  8.246715205636944543E-12  2.500000000167568182E-01
  2.175953487228835248E-01  1.000000000000000222E+00  2.236681988023792063E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  7.642268022384855953E-12  2.500000000173611125E-01
  2.315706727252681840E-01  1.000000000000000444E+00  2.236681988021146054E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  7.082123957099900796E-12  2.500000000179212201E-01
  2.455460000460115977E-01  1.000000000000000222E+00  2.236681987995372593E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  6.563035852108494589E-12  2.500000000184404159E-01
  2.595213313677373623E-01  9.999999999999995559E-01  2.236681988004266723E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  6.081994479389485797E-12  2.500000000189214755E-01
  2.734966659093154284E-01  9.999999999999994449E-01  2.236681988084404046E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  5.636211222717765648E-12  2.500000000193672300E-01
  2.874720040098617257E-01  9.999999999999991118E-01  2.236681988080931503E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  5.223101820087447520E-12  2.500000000197802885E-01
  3.014473452461669534E-01  9.999999999999987788E-01  2.236681988151874519E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  4.840271445641605105E-12  2.500000000201631489E-01
  3.154226896270244662E-01  9.999999999999986677E-01  2.236681988176713524E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  4.485500789441665802E-12  2.500000000205178652E-01
  3.293980370689954529E-01  9.999999999999983347E-01  2.236681988122379067E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  4.156733208248013807E-12  2.500000000208465467E-01
  3.433733872794353936E-01  9.999999999999985567E-01  2.236681988254083346E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  3.852062804881850386E-12  2.500000000211512474E-01
  3.573487404625424468E-01  9.999999999999985567E-01  2.236681988273281691E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  3.569723364195035835E-12  2.500000000214335771E-01
  3.713240960872925545E-01  9.999999999999984457E-01  2.236681988257633114E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  3.308078140453700723E-12  2.500000000216953122E-01
  3.852994545783027802E-01  9.999999999999984457E-01  2.236681988258026994E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  3.065610335340989629E-12  2.500000000219376739E-01
  3.992748152311415555E-01  9.999999999999982236E-01  2.236681988253781554E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  2.840914343916839807E-12  2.500000000221623830E-01
