  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.000000000000002665E+00  2.236677736811635263E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033997694417581E-11  2.500000000000032752E-01
  2.131266934124520940E-03  1.000000000000002442E+00  2.236677736790459439E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033974706709052E-11  2.500000000000032752E-01
  5.625076280149584641E-03  1.000000000000002665E+00  2.236677736684580320E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.500033937042199528E-11  2.500000000000032196E-01
  9.118885653264022922E-03  1.000000000000002665E+00  2.236677736705756144E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.500033899389417227E-11  2.500000000000032196E-01
  1.261269499928432611E-02  1.000000000000002665E+00  2.236677736705756144E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033861740789248E-11  2.500000000000032196E-01
  1.610650437239142044E-02  1.000000000000002665E+00  2.236677736621052849E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.500033824091933794E-11  2.500000000000032196E-01
  1.960031371840241510E-02  1.000000000000002442E+00  2.236677736705756144E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033786442422734E-11  2.500000000000032752E-01
  2.309412309149821985E-02  1.000000000000002665E+00  2.236677736726931968E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033748790818520E-11  2.500000000000032752E-01
  2.658793243749657878E-02  1.000000000000002665E+00  2.236677736811635263E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033711135971176E-11  2.500000000000032196E-01
  3.008174181057863758E-02  1.000000000000002665E+00  2.236677736843398998E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033673478979302E-11  2.500000000000032752E-01
  3.357555115656260525E-02  1.000000000000002665E+00  2.236677736779871527E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033635822172574E-11  2.500000000000033307E-01
  3.706936052963013400E-02  1.000000000000002665E+00  2.236677736790459439E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033598164212317E-11  2.500000000000033307E-01
  4.056316987559975551E-02  1.000000000000002887E+00  2.236677736663404497E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033560506034602E-11  2.500000000000033307E-01
  4.405697924865371873E-02  1.000000000000003109E+00  2.236677736647522629E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033522848022000E-11  2.500000000000033307E-01
  4.755078859461064900E-02  1.000000000000002887E+00  2.236677736642228673E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033485190997491E-11  2.500000000000033307E-01
  5.104459796765341284E-02  1.000000000000002665E+00  2.236677736642228673E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033447535415702E-11  2.500000000000033307E-01
  5.453840731360062866E-02  1.000000000000002665E+00  2.236677736632964250E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033409883671254E-11  2.500000000000033307E-01
  5.803221668663569727E-02  1.000000000000002665E+00  2.236677736632964250E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033372236578729E-11  2.500000000000032752E-01
  6.152602603257700808E-02  1.000000000000002665E+00  2.236677736687227298E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033334594551715E-11  2.500000000000033307E-01
  6.501983540560829500E-02  1.000000000000002887E+00  2.236677736695168232E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.500033296957558871E-11  2.500000000000033307E-01
  6.851364475154769762E-02  1.000000000000002887E+00  2.236677736732225924E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033259326274220E-11  2.500000000000033307E-01
  7.200745412457917882E-02  1.000000000000003109E+00  2.236677736673992409E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033221699893844E-11  2.500000000000033862E-01
  7.550126347052041331E-02  1.000000000000003109E+00  2.236677736748107792E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033184078396096E-11  2.500000000000033307E-01
  7.899507284355526682E-02  1.000000000000002887E+00  2.236677736737519880E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033146460324039E-11  2.500000000000033307E-01
  8.248888218950102547E-02  1.000000000000003109E+00  2.236677736737519880E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033108847273874E-11  2.500000000000033307E-01
  8.598269156254145784E-02  1.000000000000003109E+00  2.236677736779871527E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033071236710743E-11  2.500000000000033307E-01
  8.947650090849337823E-02  1.000000000000002887E+00  2.236677736811635263E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033033630105154E-11  2.500000000000032752E-01
