  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  1.000000000000002665E+00  2.236678582510505625E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.500034162190237684E-11  2.500000000000032752E-01  0.000000000000000000E+00
  4.122781814409989809E-03  1.000000000000002665E+00  2.236678582552857272E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.499721951871600028E-11  2.500000000000063838E-01  0.000000000000000000E+00
  1.111040094980870856E-02  1.000000000000002665E+00  2.236678582510505625E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.499185561168942640E-11  2.500000000000118239E-01  0.000000000000000000E+00
  1.809802019254061478E-02  1.000000000000002665E+00  2.236678582510505625E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.498686724857391332E-11  2.500000000000167644E-01  0.000000000000000000E+00
  2.508563969151468218E-02  1.000000000000002665E+00  2.236678582341099036E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.498121697826117847E-11  2.500000000000224265E-01  0.000000000000000000E+00
  3.207325921520414597E-02  1.000000000000002665E+00  2.236678582256395741E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.497595270326035214E-11  2.500000000000277001E-01  0.000000000000000000E+00
  3.906087895015629419E-02  1.000000000000002665E+00  2.236678582298747388E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.497032136474012440E-11  2.500000000000332512E-01  0.000000000000000000E+00
  4.604849870783197380E-02  1.000000000000002442E+00  2.236678582341099036E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.496480841956613709E-11  2.500000000000387468E-01  0.000000000000000000E+00
  5.303611862907923330E-02  1.000000000000002442E+00  2.236678582341099036E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.495920597113071560E-11  2.500000000000443534E-01  0.000000000000000000E+00
  6.002373858717483662E-02  1.000000000000002442E+00  2.236678582425802330E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.495350223831191122E-11  2.500000000000499600E-01  0.000000000000000000E+00
