  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  9.999999999999961142E-01  6.689550089895472196E-13  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250113263E-01  2.500033948271563115E-11  2.500000000000109912E-01  0.000000000000000000E+00
  1.928053161470982130E-02  1.000000000000000000E+00  6.689550193657008235E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250166554E-01  2.286504458982604673E-11  2.500000000017905122E-01  5.000000000003619327E-01
  3.890775483017250985E-02  1.000000000000004219E+00  6.689550282595467696E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250180987E-01  1.706567158215767343E-11  2.500000000066236461E-01  5.000000000013270496E-01
  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  9.999999999999900080E-01  6.689549676966910410E-13  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250054977E-01  2.500033948271572485E-11  2.500000000000138778E-01  0.000000000000000000E+00
  1.928053161470982130E-02  9.999999999999933387E-01  6.689549943782288795E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250228727E-01  2.286504458982555882E-11  2.500000000017937873E-01  5.000000000003737011E-01
  3.890775483017250985E-02  1.000000000000011324E+00  6.689549880254817751E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250206522E-01  1.706567158215776067E-11  2.500000000066239236E-01  5.000000000013196111E-01
  5.853496118282770083E-02  9.999999999999817923E-01  6.689551447265770171E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250195420E-01  9.654662679247234292E-12  2.500000000127953204E-01  5.000000000025712765E-01
  7.816215215657983106E-02  1.000000000000001776E+00  6.689549937429541690E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250274246E-01  3.255719218359939850E-12  2.500000000181313853E-01  5.000000000036313175E-01
  9.778933348882412613E-02  9.999999999999883427E-01  6.689550106571433345E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250052201E-01  1.342272212721199687E-13  2.500000000207352469E-01  5.000000000041493475E-01
  1.174165130088078990E-01  9.999999999999891198E-01  6.689550367298762422E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250092169E-01  1.395259524506270294E-12  2.500000000196807015E-01  5.000000000039408476E-01
  1.370436989028713803E-01  1.000000000000012212E+00  6.689550638349305543E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250014454E-01  6.592360285221941521E-12  2.500000000153509983E-01  5.000000000030666580E-01
  1.566708980529152029E-01  1.000000000000003331E+00  6.689550443531727675E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250164334E-01  1.388560374081080561E-11  2.500000000092716390E-01  5.000000000018529622E-01
  1.762981141072363367E-01  9.999999999999962252E-01  6.689550744228423950E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250267584E-01  2.069297191488575642E-11  2.500000000036024517E-01  5.000000000007273071E-01
  1.959253450092365290E-01  9.999999999999881206E-01  6.689550384239421367E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250151011E-01  2.460445628945443738E-11  2.500000000003443357E-01  5.000000000000675016E-01
  2.155525813530598245E-01  9.999999999999851230E-01  6.689548893461434199E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250222065E-01  2.423527505259520453E-11  2.500000000006459833E-01  5.000000000001397771E-01
  2.351798102796665291E-01  9.999999999999893419E-01  6.689550570586669763E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250228727E-01  1.971613547330192447E-11  2.500000000044196313E-01  5.000000000008799628E-01
  2.548070235262564487E-01  1.000000000000003997E+00  6.689550532470187136E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000249991139E-01  1.264695396800700038E-11  2.500000000103039799E-01  5.000000000020682345E-01
  2.744342201471472453E-01  9.999999999999896749E-01  6.689550032720748256E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250104382E-01  5.530422683648921427E-12  2.500000000162402869E-01  5.000000000032497338E-01
  2.940614044733355636E-01  9.999999999999880096E-01  6.689549824138884995E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250255372E-01  8.859791128357407359E-13  2.500000000201028083E-01  5.000000000040258907E-01
  3.136885837205061756E-01  1.000000000000003331E+00  6.689550092013054564E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250087728E-01  3.578633252846557020E-13  2.500000000205422901E-01  5.000000000041094905E-01
