  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  1.000000000000000000E+00  6.689583367702387449E-13  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250116594E-01  2.500034025842554724E-11  2.500000000000111022E-01  0.000000000000000000E+00
  4.871280723163774057E-02  9.999999999999991118E-01  6.689583310527663510E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250170995E-01  3.531655724930349893E-12  7.500000000214848139E-01  2.472435297005267725E-30
  9.836619437687228740E-02  1.000000000000000888E+00  6.689583405818870076E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250157672E-01  1.348504043108865587E-11  7.500000000115305543E-01  2.471709639703225148E-30
  1.480196688997619525E-01  1.000000000000000666E+00  6.689583405818870076E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250168775E-01  1.996838628553374097E-11  7.500000000050490723E-01  2.470988526018069913E-30
  1.976730744146387997E-01  9.999999999999980016E-01  6.689583329585904823E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250166554E-01  2.844066640867020402E-13  7.500000000247321053E-01  2.470269405320017785E-30
  2.473264928757042402E-01  1.000000000000001110E+00  6.689583469346341120E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250153231E-01  2.327496591780170043E-11  7.500000000017419399E-01  2.469551584571320965E-30
  2.969799620866552248E-01  9.999999999999978906E-01  6.689583390995793499E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250164334E-01  8.451980113977471563E-12  7.500000000165648606E-01  2.468834703611541553E-30
  3.466333479611079516E-01  9.999999999999991118E-01  6.689583335938651927E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250149901E-01  7.669372245505173809E-12  7.500000000173459025E-01  2.468118555831592697E-30
  3.962868090368339424E-01  1.000000000000001554E+00  6.689583215236456944E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250163223E-01  2.360283349855057147E-11  7.500000000014118706E-01  2.467403011691086668E-30
  4.459402366610321633E-01  9.999999999999984457E-01  6.689583341232607848E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250155452E-01  4.782730790743123361E-13  7.500000000245383713E-01  2.466687991224766149E-30
  4.955936367754918415E-01  9.999999999999988898E-01  6.689583397348540603E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250158783E-01  1.917528334796956702E-11  7.500000000058415495E-01  2.465973439526597381E-30
  5.452471162212638722E-01  9.999999999999982236E-01  6.689583367702387449E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250170995E-01  1.422529921915917464E-11  7.500000000107901466E-01  2.465259316640748035E-30
  5.949005109994234264E-01  1.000000000000000222E+00  6.689583280881510356E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250159893E-01  2.944116577085921527E-12  7.500000000220710117E-01  2.464545596413882436E-30
  6.445539501603745336E-01  1.000000000000000666E+00  6.689583316880410614E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250164334E-01  2.474385805151463155E-11  7.500000000002711165E-01  2.463832255019823689E-30
  6.942074015413511878E-01  1.000000000000002220E+00  6.689583295704586933E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250157672E-01  3.313561817667481403E-12  7.500000000217028617E-01  2.463119274856475725E-30
  7.438607917427660920E-01  9.999999999999987788E-01  6.689583308410081142E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250148791E-01  1.360448473001127675E-11  7.500000000114110943E-01  2.462406642068950846E-30
  7.935142690559671141E-01  1.000000000000001332E+00  6.689583160179315372E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250168775E-01  1.954911370109816164E-11  7.500000000054687366E-01  2.461694342734520992E-30
  8.431676801301122293E-01  1.000000000000001110E+00  6.689583300998542853E-13  0.000000000000000000E+00  0.000000000000000000E+00  7.500000000250175436E-01  3.530686213261554058E-13  7.500000000246642706E-01  2.460982368793349697E-30
