  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  1.099999999999975664E+00  1.654556292351346001E-11  1.820011917821313879E-11  0.000000000000000000E+00  2.750000000124455668E-01  2.749999999493007952E-11  2.749999999849416787E-01  0.000000000000000000E+00
  1.716337413500125184E-02  1.100000000000009637E+00  1.654556290933398811E-11  1.820011920353375773E-11  0.000000000000000000E+00  2.750000000124396826E-01  2.752543458173044511E-11  2.749999999849229715E-01  0.000000000000000000E+00
  3.463244589271272794E-02  1.099999999999997202E+00  1.654556292262181747E-11  1.820011921883329034E-11  0.000000000000000000E+00  2.750000000124382393E-01  2.759272484045548558E-11  2.749999999848481980E-01  0.000000000000000000E+00
  5.210151676711662072E-02  1.100000000000004530E+00  1.654556291203390563E-11  1.820011920236908742E-11  0.000000000000000000E+00  2.750000000124405153E-01  2.767332606376205480E-11  2.749999999847718146E-01  0.000000000000000000E+00
  6.957058638243045212E-02  1.099999999999988987E+00  1.654556291139863092E-11  1.820011920438079067E-11  0.000000000000000000E+00  2.750000000124399602E-01  2.773303871062520968E-11  2.749999999847108634E-01  0.000000000000000000E+00
  8.703965446339000100E-02  1.099999999999988320E+00  1.654556291023396062E-11  1.820011920427491156E-11  0.000000000000000000E+00  2.750000000124470656E-01  2.774652381356124584E-11  2.749999999846968191E-01  0.000000000000000000E+00
  1.045087208848739097E-01  1.100000000000003642E+00  1.654556291213978475E-11  1.820011920152205448E-11  0.000000000000000000E+00  2.750000000124445121E-01  2.770805123299621842E-11  2.749999999847351217E-01  0.000000000000000000E+00
  1.219777857095860063E-01  1.100000000000002753E+00  1.654556291637494949E-11  1.820011920501606538E-11  0.000000000000000000E+00  2.750000000124437904E-01  2.763393021509936104E-11  2.749999999848076193E-01  0.000000000000000000E+00
  1.394468492047453989E-01  1.100000000000002309E+00  1.654556291648082861E-11  1.820011920459254891E-11  0.000000000000000000E+00  2.750000000124440125E-01  2.755559128974966919E-11  2.749999999848878884E-01  0.000000000000000000E+00
  1.569159118199932035E-01  1.099999999999999645E+00  1.654556290724287552E-11  1.820011920512194450E-11  0.000000000000000000E+00  2.750000000124417365E-01  2.750625406163971537E-11  2.749999999849370158E-01  0.000000000000000000E+00
  1.743849741309461132E-01  1.100000000000000977E+00  1.654556290954574635E-11  1.820011920768951312E-11  0.000000000000000000E+00  2.750000000124424027E-01  2.750683615385971011E-11  2.749999999849359611E-01  0.000000000000000000E+00
  1.918540367579377459E-01  1.100000000000000089E+00  1.654556291007514194E-11  1.820011921608043326E-11  0.000000000000000000E+00  2.750000000124435129E-01  2.755708041924227060E-11  2.749999999848863896E-01  0.000000000000000000E+00
  2.093231002735315704E-01  1.099999999999999423E+00  1.654556291933956480E-11  1.820011920882771365E-11  0.000000000000000000E+00  2.750000000124435684E-01  2.763566404909572732E-11  2.749999999848084520E-01  0.000000000000000000E+00
  2.267921651187014276E-01  1.099999999999997424E+00  1.654556289191687314E-11  1.820011920501606538E-11  0.000000000000000000E+00  2.750000000124433464E-01  2.770924329309278325E-11  2.749999999847346221E-01  0.000000000000000000E+00
  2.442612315622143260E-01  1.099999999999999645E+00  1.654556291404560888E-11  1.820011920088677977E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.774659720880873816E-11  2.749999999846967080E-01  0.000000000000000000E+00
  2.617302996658489311E-01  1.099999999999998535E+00  1.654556291446912536E-11  1.820011920363963685E-11  0.000000000000000000E+00  2.750000000124435129E-01  2.773187094833263653E-11  2.749999999847114740E-01  0.000000000000000000E+00
  2.791993692998396837E-01  1.099999999999998757E+00  1.654556291986896039E-11  1.820011920702776863E-11  0.000000000000000000E+00  2.750000000124433464E-01  2.767130104515127045E-11  2.749999999847722032E-01  0.000000000000000000E+00
  2.966684401852606734E-01  1.100000000000000089E+00  1.654556291510440007E-11  1.820011920326905993E-11  0.000000000000000000E+00  2.750000000124440680E-01  2.759056997105775295E-11  2.749999999848530274E-01  0.000000000000000000E+00
  3.141375119443387542E-01  1.099999999999996536E+00  1.654556291319857593E-11  1.820011921017767241E-11  0.000000000000000000E+00  2.750000000124429578E-01  2.752391212000452826E-11  2.749999999849193077E-01  0.000000000000000000E+00
  3.316065841430518857E-01  1.100000000000000311E+00  1.654556291063597040E-11  1.820011919963442832E-11  0.000000000000000000E+00  2.750000000124433464E-01  2.749959226477250309E-11  2.749999999849448429E-01  0.000000000000000000E+00
