  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  1.099999999999975664E+00  1.654556292351346001E-11  1.820011917821313879E-11  0.000000000000000000E+00  2.750000000124455668E-01  2.749999999493007952E-11  2.749999999849416787E-01  0.000000000000000000E+00
  1.716337417621177294E-02  1.099999999999992983E+00  1.654556291701022420E-11  1.820011921242760367E-11  0.000000000000000000E+00  2.750000000124395716E-01  2.752543066663931453E-11  2.749999999849196408E-01  0.000000000000000000E+00
  3.463244598163939952E-02  1.099999999999999423E+00  1.654556291266918034E-11  1.820011921840977386E-11  0.000000000000000000E+00  2.750000000124412924E-01  2.759271844339526563E-11  2.749999999848499188E-01  0.000000000000000000E+00
  5.210151689761468446E-02  1.099999999999988320E+00  1.654556291436324624E-11  1.820011919675749415E-11  0.000000000000000000E+00  2.750000000124464550E-01  2.767331189537740337E-11  2.749999999847689280E-01  0.000000000000000000E+00
  6.957058654966528921E-02  1.100000000000003642E+00  1.654556292505703720E-11  1.820011919495754914E-11  0.000000000000000000E+00  2.750000000124460664E-01  2.773300716434059759E-11  2.749999999847095866E-01  0.000000000000000000E+00
  8.703965466559136777E-02  1.099999999999994316E+00  1.654556290832813649E-11  1.820011920681601040E-11  0.000000000000000000E+00  2.750000000124420696E-01  2.774646564319361352E-11  2.749999999846962639E-01  0.000000000000000000E+00
  1.045087211204956817E-01  1.099999999999993650E+00  1.654556291870429009E-11  1.820011919612221944E-11  0.000000000000000000E+00  2.750000000124457333E-01  2.770796295517535152E-11  2.749999999847339005E-01  0.000000000000000000E+00
  1.219777859809022119E-01  1.099999999999996980E+00  1.654556291521027918E-11  1.820011920268672478E-11  0.000000000000000000E+00  2.750000000124439015E-01  2.763381740811190742E-11  2.749999999848105059E-01  0.000000000000000000E+00
  1.394468495186448886E-01  1.100000000000000755E+00  1.654556291923368568E-11  1.820011920697482908E-11  0.000000000000000000E+00  2.750000000124440125E-01  2.755546747618845626E-11  2.749999999848887211E-01  0.000000000000000000E+00
  1.569159121908425270E-01  1.100000000000001199E+00  1.654556291862488075E-11  1.820011920067502153E-11  0.000000000000000000E+00  2.750000000124441790E-01  2.750613516237091640E-11  2.749999999849370158E-01  0.000000000000000000E+00
  1.743849745792036277E-01  1.099999999999999201E+00  1.654556291679846596E-11  1.820011920083384021E-11  0.000000000000000000E+00  2.750000000124441790E-01  2.750673561766424474E-11  2.749999999849367383E-01  0.000000000000000000E+00
  1.918540372597781762E-01  1.100000000000000533E+00  1.654556292812753163E-11  1.820011920713364775E-11  0.000000000000000000E+00  2.750000000124446231E-01  2.755700022961909846E-11  2.749999999848859455E-01  0.000000000000000000E+00
  2.093231008037993168E-01  1.099999999999996092E+00  1.654556290758698266E-11  1.820011919993386770E-11  0.000000000000000000E+00  2.750000000124439570E-01  2.763558640750574895E-11  2.749999999848077303E-01  0.000000000000000000E+00
  2.267921656676009645E-01  1.100000000000000533E+00  1.654556292283357571E-11  1.820011921380403221E-11  0.000000000000000000E+00  2.750000000124430133E-01  2.770914213227093901E-11  2.749999999847341781E-01  0.000000000000000000E+00
  2.442612321255941410E-01  1.100000000000000089E+00  1.654556292230418012E-11  1.820011920363963685E-11  0.000000000000000000E+00  2.750000000124434574E-01  2.774644898387521882E-11  2.749999999846970966E-01  0.000000000000000000E+00
  2.617303002416664359E-01  1.099999999999998757E+00  1.654556291161038916E-11  1.820011920745128511E-11  0.000000000000000000E+00  2.750000000124433464E-01  2.773166576328299016E-11  2.749999999847115850E-01  0.000000000000000000E+00
  2.791993698898808107E-01  1.100000000000005196E+00  1.654556291595143301E-11  1.820011920893359277E-11  0.000000000000000000E+00  2.750000000124435684E-01  2.767104875370271831E-11  2.749999999847722587E-01  0.000000000000000000E+00
  2.966684407951618585E-01  1.099999999999999645E+00  1.654556291573967478E-11  1.820011920051620285E-11  0.000000000000000000E+00  2.750000000124438460E-01  2.759029746779107556E-11  2.749999999848525833E-01  0.000000000000000000E+00
  3.141375125874004137E-01  1.100000000000002087E+00  1.654556291573967478E-11  1.820011920779539224E-11  0.000000000000000000E+00  2.750000000124436239E-01  2.752365251353577754E-11  2.749999999849193077E-01  0.000000000000000000E+00
  3.316065848455388987E-01  1.099999999999999867E+00  1.654556291937926947E-11  1.820011919710325565E-11  0.000000000000000000E+00  2.750000000124438460E-01  2.749937092830658009E-11  2.749999999849436771E-01  0.000000000000000000E+00
  3.490756571418526244E-01  1.099999999999999645E+00  1.654556293162154254E-11  1.820011920003974682E-11  0.000000000000000000E+00  2.750000000124436239E-01  2.752774328979411664E-11  2.749999999849158661E-01  0.000000000000000000E+00
  3.665447289556610366E-01  1.099999999999997646E+00  1.654556290695170795E-11  1.820011920379845552E-11  0.000000000000000000E+00  2.750000000124430133E-01  2.759671441478034790E-11  2.749999999848468102E-01  0.000000000000000000E+00
  3.840137998536795050E-01  1.099999999999995648E+00  1.654556290885753208E-11  1.820011920935710924E-11  0.000000000000000000E+00  2.750000000124430688E-01  2.767700906741237048E-11  2.749999999847669852E-01  0.000000000000000000E+00
  4.014828694669794751E-01  1.099999999999997424E+00  1.654556291923368568E-11  1.820011920702776863E-11  0.000000000000000000E+00  2.750000000124426247E-01  2.773455001409789161E-11  2.749999999847081433E-01  0.000000000000000000E+00
  4.189519375280110758E-01  1.099999999999999201E+00  1.654556290314005969E-11  1.820011919929859299E-11  0.000000000000000000E+00  2.750000000124437349E-01  2.774491240458286306E-11  2.749999999846989840E-01  0.000000000000000000E+00
  4.364210039212389480E-01  1.099999999999998757E+00  1.654556292082187246E-11  1.820011920702776863E-11  0.000000000000000000E+00  2.750000000124443456E-01  2.770368515988147526E-11  2.749999999847405618E-01  0.000000000000000000E+00
  4.538900687220626673E-01  1.099999999999998312E+00  1.654556291542203742E-11  1.820011920183969183E-11  0.000000000000000000E+00  2.750000000124441235E-01  2.762834228348238770E-11  2.749999999848150578E-01  0.000000000000000000E+00
  4.713591322139918383E-01  1.099999999999999423E+00  1.654556291325151549E-11  1.820011920115147756E-11  0.000000000000000000E+00  2.750000000124439570E-01  2.755083006255511584E-11  2.749999999848930510E-01  0.000000000000000000E+00
  4.888281948599977333E-01  1.100000000000002087E+00  1.654556291824106895E-11  1.820011920484401182E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.750401513407314924E-11  2.749999999849389032E-01  0.000000000000000000E+00
  5.062972572465476162E-01  1.100000000000000089E+00  1.654556291460147425E-11  1.820011920959533726E-11  0.000000000000000000E+00  2.750000000124436239E-01  2.750774534421733497E-11  2.749999999849354060E-01  0.000000000000000000E+00
  5.237663199507524014E-01  1.100000000000001421E+00  1.654556291526321874E-11  1.820011920506900494E-11  0.000000000000000000E+00  2.750000000124431798E-01  2.756042390472094800E-11  2.749999999848840582E-01  0.000000000000000000E+00
  5.412353835449718042E-01  1.099999999999999645E+00  1.654556291521027918E-11  1.820011920342787861E-11  0.000000000000000000E+00  2.750000000124434574E-01  2.763968382120339145E-11  2.749999999848032894E-01  0.000000000000000000E+00
  5.587044484801590993E-01  1.099999999999997868E+00  1.654556290938692767E-11  1.820011920702776863E-11  0.000000000000000000E+00  2.750000000124438460E-01  2.771188716093039949E-11  2.749999999847323462E-01  0.000000000000000000E+00
  5.761735150173252773E-01  1.100000000000000533E+00  1.654556291711610332E-11  1.820011920131029624E-11  0.000000000000000000E+00  2.750000000124435129E-01  2.774638917856633267E-11  2.749999999846965415E-01  0.000000000000000000E+00
  5.936425832086832388E-01  1.099999999999999423E+00  1.654556291319857593E-11  1.820011920925123012E-11  0.000000000000000000E+00  2.750000000124428468E-01  2.772853848741190450E-11  2.749999999847155263E-01  0.000000000000000000E+00
  6.111116529199459579E-01  1.100000000000000755E+00  1.654556292124538893E-11  1.820011920512194450E-11  0.000000000000000000E+00  2.750000000124439570E-01  2.766589260603224092E-11  2.749999999847772547E-01  0.000000000000000000E+00
  6.285807238718910117E-01  1.099999999999998535E+00  1.654556291245742211E-11  1.820011920406315332E-11  0.000000000000000000E+00  2.750000000124436794E-01  2.758501163112188328E-11  2.749999999848584675E-01  0.000000000000000000E+00
