  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.099999999999998757E+00  1.654556291151183188E-11  1.820011919747376794E-11  0.000000000000000000E+00  2.750000000124431798E-01  2.749999999491426615E-11  2.749999999849436216E-01
  6.851374040059016179E-02  1.099999999999999645E+00  1.654556291404560888E-11  1.820011920829831806E-11  0.000000000000000000E+00  2.750000000124432908E-01  2.773064296973953961E-11  2.749999999847128618E-01
  1.383900039200085530E-01  1.099999999999999867E+00  1.654556291409854844E-11  1.820011920639249392E-11  0.000000000000000000E+00  2.750000000124437349E-01  2.755997959411703417E-11  2.749999999848834475E-01
  2.082662552469509154E-01  1.100000000000000311E+00  1.654556291849253186E-11  1.820011920745128511E-11  0.000000000000000000E+00  2.750000000124436239E-01  2.763093643702730239E-11  2.749999999848125043E-01
  2.781425242203387493E-01  1.099999999999999201E+00  1.654556291573967478E-11  1.820011920586309833E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.767620872365821908E-11  2.749999999847671517E-01
  3.480188114421629564E-01  1.100000000000000089E+00  1.654556291679846596E-11  1.820011920416903244E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.752523319188779012E-11  2.749999999849181975E-01
  4.178950920701818283E-01  1.099999999999999423E+00  1.654556291468088359E-11  1.820011920448666979E-11  0.000000000000000000E+00  2.750000000124434019E-01  2.774661570068575444E-11  2.749999999846963195E-01
  4.877713497550168475E-01  1.100000000000000089E+00  1.654556291838665274E-11  1.820011920673660106E-11  0.000000000000000000E+00  2.750000000124432908E-01  2.750647192705414667E-11  2.749999999849367383E-01
  5.576476033828263734E-01  1.099999999999999645E+00  1.654556291415148800E-11  1.820011920491018627E-11  0.000000000000000000E+00  2.750000000124433464E-01  2.770926070513504698E-11  2.749999999847339560E-01
  6.275238787644374927E-01  1.100000000000000089E+00  1.654556291626907037E-11  1.820011920533370274E-11  0.000000000000000000E+00  2.750000000124432353E-01  2.759113108596492162E-11  2.749999999848523058E-01
  6.974001669487566168E-01  1.099999999999999201E+00  1.654556291775137803E-11  1.820011920639249392E-11  0.000000000000000000E+00  2.750000000124431243E-01  2.759697467587264279E-11  2.749999999848463106E-01
  7.672764419417398285E-01  1.099999999999999423E+00  1.654556291563379566E-11  1.820011920533370274E-11  0.000000000000000000E+00  2.750000000124430688E-01  2.770473651519163981E-11  2.749999999847381749E-01
  8.371526953580552544E-01  1.100000000000000311E+00  1.654556292063658400E-11  1.820011920475136759E-11  0.000000000000000000E+00  2.750000000124432353E-01  2.750848559410024609E-11  2.749999999849346843E-01
  9.070289534142794707E-01  1.099999999999999645E+00  1.654556291732786155E-11  1.820011920491018627E-11  0.000000000000000000E+00  2.750000000124431243E-01  2.774735784015953570E-11  2.749999999846956533E-01
  9.769052344235573671E-01  1.099999999999999201E+00  1.654556291769843847E-11  1.820011920496312583E-11  0.000000000000000000E+00  2.750000000124431798E-01  2.752159371904576068E-11  2.749999999849213617E-01
  1.046781521573423301E+00  1.099999999999999645E+00  1.654556291637494949E-11  1.820011920416903244E-11  0.000000000000000000E+00  2.750000000124429578E-01  2.768149122688180249E-11  2.749999999847612675E-01
  1.116657790159340413E+00  1.099999999999998979E+00  1.654556291743374067E-11  1.820011920480430715E-11  0.000000000000000000E+00  2.750000000124427912E-01  2.762474986340950661E-11  2.749999999848182219E-01
  1.186534041450828303E+00  1.099999999999999645E+00  1.654556291674552640E-11  1.820011920337493905E-11  0.000000000000000000E+00  2.750000000124427357E-01  2.756504147953731779E-11  2.749999999848778409E-01
  1.256410305400658345E+00  1.099999999999998757E+00  1.654556291775137803E-11  1.820011920776892246E-11  0.000000000000000000E+00  2.750000000124427912E-01  2.772721310298793906E-11  2.749999999847156928E-01
  1.326286590598036108E+00  1.099999999999998979E+00  1.654556291736756622E-11  1.820011920408300565E-11  0.000000000000000000E+00  2.750000000124427357E-01  2.750039891932686135E-11  2.749999999849422894E-01
  1.396162874766880169E+00  1.099999999999998757E+00  1.654556291690434508E-11  1.820011920512194450E-11  0.000000000000000000E+00  2.750000000124425692E-01  2.773885191654320409E-11  2.749999999847037024E-01
  1.466039136943667387E+00  1.099999999999998312E+00  1.654556291780431759E-11  1.820011920575721921E-11  0.000000000000000000E+00  2.750000000124426247E-01  2.754439167040594761E-11  2.749999999848981025E-01
  1.535915388581620356E+00  1.099999999999999201E+00  1.654556291732786155E-11  1.820011920522782362E-11  0.000000000000000000E+00  2.750000000124425137E-01  2.764940959162429344E-11  2.749999999847930754E-01
  1.605791659016436057E+00  1.099999999999998312E+00  1.654556291944544392E-11  1.820011920586309833E-11  0.000000000000000000E+00  2.750000000124425692E-01  2.765830948926718416E-11  2.749999999847840826E-01
  1.675667946657110940E+00  1.099999999999998757E+00  1.654556291669258684E-11  1.820011920236908742E-11  0.000000000000000000E+00  2.750000000124422916E-01  2.753752499429140247E-11  2.749999999849050414E-01
  1.745544226188562531E+00  1.099999999999998757E+00  1.654556291806901538E-11  1.820011920628661481E-11  0.000000000000000000E+00  2.750000000124422361E-01  2.774194707604499051E-11  2.749999999847003718E-01
  1.815420482812794223E+00  1.099999999999997424E+00  1.654556291800284093E-11  1.820011920635278925E-11  0.000000000000000000E+00  2.750000000124423472E-01  2.750157305035543933E-11  2.749999999849405130E-01
  1.885296737266333844E+00  1.099999999999998535E+00  1.654556292050423510E-11  1.820011920628661481E-11  0.000000000000000000E+00  2.750000000124420696E-01  2.772172906360060412E-11  2.749999999847202448E-01
  1.955173013992696163E+00  1.099999999999997868E+00  1.654556291849253186E-11  1.820011920533370274E-11  0.000000000000000000E+00  2.750000000124419586E-01  2.757315038150815539E-11  2.749999999848690146E-01
