  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                MagEnergy                
  0.000000000000000000E+00  1.000000000000002665E+00  2.236681987794711824E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500034831448640924E-11  2.500000000000032196E-01  0.000000000000000000E+00
  7.966059533472876278E-03  1.000000000000002665E+00  2.236681987498250293E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.497283946952582588E-11  2.500000000000307532E-01  0.000000000000000000E+00
  2.194129740103585580E-02  1.000000000000002442E+00  2.236681987413546998E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.492465249428755880E-11  2.500000000000789369E-01  0.000000000000000000E+00
  3.591653722458888753E-02  1.000000000000002220E+00  2.236681987413546998E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.487655849422449846E-11  2.500000000001270650E-01  0.000000000000000000E+00
  4.989177545203396513E-02  1.000000000000002220E+00  2.236681987371195350E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.482855730236858386E-11  2.500000000001751377E-01  0.000000000000000000E+00
  6.386701563306043661E-02  1.000000000000002220E+00  2.236681987582953587E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.478064872791230533E-11  2.500000000002229883E-01  0.000000000000000000E+00
  7.784225421978502313E-02  1.000000000000002220E+00  2.236681987561777764E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.473283260431753547E-11  2.500000000002707834E-01  0.000000000000000000E+00
  9.181749475776923575E-02  1.000000000000002220E+00  2.236681987582953587E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.468510874048041101E-11  2.500000000003185230E-01  0.000000000000000000E+00
  1.057927337032538023E-01  1.000000000000002220E+00  2.236681987577659631E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.463747696993276267E-11  2.500000000003660960E-01  0.000000000000000000E+00
  1.197679745975684940E-01  1.000000000000002220E+00  2.236681987598835455E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.458993710202510785E-11  2.500000000004137246E-01  0.000000000000000000E+00
  1.337432139010850674E-01  1.000000000000002442E+00  2.236681987604129411E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.454248897086710171E-11  2.500000000004611866E-01  0.000000000000000000E+00
  1.477184551509781729E-01  1.000000000000002442E+00  2.236681987519426116E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.449513238672246579E-11  2.500000000005085932E-01  0.000000000000000000E+00
  1.616936948118103679E-01  1.000000000000002665E+00  2.236681987540601940E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.444786718492358008E-11  2.500000000005558887E-01  0.000000000000000000E+00
  1.756689364166694745E-01  1.000000000000002220E+00  2.236681987455898645E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.440069317732766173E-11  2.500000000006030176E-01  0.000000000000000000E+00
  1.896441764342946812E-01  1.000000000000002220E+00  2.236681987201788761E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037768E-01  2.435361020012106744E-11  2.500000000006502021E-01  0.000000000000000000E+00
