  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.000000000000002665E+00  2.236681987811218601E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500034831448640601E-11  2.500000000000032196E-01
  7.966059505670412821E-03  1.000000000000002442E+00  2.236681987746128211E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.499951015545680797E-11  2.500000000000040523E-01
  2.194129718842309507E-02  1.000000000000002220E+00  2.236681987703085092E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.499803980436042794E-11  2.500000000000054956E-01
  3.591653665318561561E-02  1.000000000000002220E+00  2.236681987697277380E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.499656953979707261E-11  2.500000000000069944E-01
  4.989177434674987172E-02  1.000000000000002220E+00  2.236681987588294072E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.499509936213907342E-11  2.500000000000085487E-01
  6.386701382228977819E-02  1.000000000000002442E+00  2.236681987635272115E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.499362927120575604E-11  2.500000000000099920E-01
  7.784225152676299553E-02  1.000000000000002220E+00  2.236681987544687437E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.499215926784223409E-11  2.500000000000114353E-01
  9.181749101323881390E-02  1.000000000000002442E+00  2.236681987553012557E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.499068935152120256E-11  2.500000000000129341E-01
  1.057927287287735441E-01  1.000000000000002442E+00  2.236681987574646884E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.498921952222984337E-11  2.500000000000143219E-01
  1.197679682261937328E-01  1.000000000000002665E+00  2.236681987541085324E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.498774977907694373E-11  2.500000000000158207E-01
  1.337432059526480754E-01  1.000000000000002665E+00  2.236681987440543459E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.498628012188228489E-11  2.500000000000173195E-01
  1.477184454609228037E-01  1.000000000000002665E+00  2.236681987613620985E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.498481055012728924E-11  2.500000000000185962E-01
  1.616936831983003531E-01  1.000000000000002665E+00  2.236681987651634458E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.498334106443457498E-11  2.500000000000202061E-01
  1.756689227174829948E-01  1.000000000000002220E+00  2.236681987602557122E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.498187166455455327E-11  2.500000000000217049E-01
  1.896441604659352687E-01  1.000000000000002220E+00  2.236681987601493096E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.498040235112636656E-11  2.500000000000230371E-01
  2.036193999961852241E-01  1.000000000000001776E+00  2.236681987773821959E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.497893312376683957E-11  2.500000000000245359E-01
  2.175946377557944345E-01  1.000000000000001776E+00  2.236681987880657182E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.497746398297557323E-11  2.500000000000260347E-01
  2.315698772970324060E-01  1.000000000000001998E+00  2.236681987972041253E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.497599492820720996E-11  2.500000000000274780E-01
  2.455451150675547478E-01  1.000000000000001776E+00  2.236681988085290680E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.497452596030747085E-11  2.500000000000290323E-01
  2.595203546195187227E-01  1.000000000000001554E+00  2.236681988204453802E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.497305707902081848E-11  2.500000000000304756E-01
  2.734955924007325678E-01  1.000000000000001776E+00  2.236681988181765789E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.497158828527669366E-11  2.500000000000318634E-01
  2.874708319633927922E-01  1.000000000000001554E+00  2.236681988002466959E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  2.497011957852411009E-11  2.500000000000333067E-01
  3.014460697554444679E-01  1.000000000000001554E+00  2.236681988020286239E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.496865095887265306E-11  2.500000000000348055E-01
  3.154213093290053060E-01  1.000000000000001554E+00  2.236681987920275579E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  2.496718242525946333E-11  2.500000000000362488E-01
  3.293965471320873251E-01  1.000000000000001110E+00  2.236681987977362027E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034993E-01  2.496571397769135544E-11  2.500000000000377476E-01
  3.433717867165956839E-01  1.000000000000001332E+00  2.236681987815782958E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  2.496424561581401821E-11  2.500000000000391909E-01
  3.573470245306229476E-01  1.000000000000001110E+00  2.236681988006484601E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  2.496277734046615786E-11  2.500000000000406342E-01
  3.713222641259608658E-01  1.000000000000000666E+00  2.236681987984119705E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  2.496130915149349227E-11  2.500000000000420775E-01
  3.852975019508526611E-01  1.000000000000000888E+00  2.236681987877482553E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  2.495984104947569088E-11  2.500000000000435207E-01
  3.992727415570832550E-01  1.000000000000000444E+00  2.236681987826192509E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  2.495837303358047105E-11  2.500000000000449640E-01
  4.132479793930423084E-01  1.000000000000000222E+00  2.236681987778943694E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  2.495690510346140889E-11  2.500000000000463518E-01
  4.272232190103606442E-01  1.000000000000000444E+00  2.236681987956329991E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250032772E-01  2.495543725804270109E-11  2.500000000000478506E-01
  4.411984568575160193E-01  1.000000000000000222E+00  2.236681987876942947E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250032217E-01  2.495396949787407702E-11  2.500000000000492939E-01
  4.551736964858554835E-01  1.000000000000000444E+00  2.236681987981663690E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250032217E-01  2.495250182324063934E-11  2.500000000000507372E-01
  4.691489343439633197E-01  1.000000000000000222E+00  2.236681987963989167E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250032217E-01  2.495103423571767274E-11  2.500000000000521805E-01
  4.831241739830484661E-01  1.000000000000000444E+00  2.236681987966549226E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250031662E-01  2.494956673585676777E-11  2.500000000000536793E-01
  4.970994118518706761E-01  1.000000000000000222E+00  2.236681988027169609E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250032772E-01  2.494809932455992285E-11  2.500000000000551781E-01
  5.110746515016605374E-01  9.999999999999997780E-01  2.236681988095538349E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250032772E-01  2.494663200063837931E-11  2.500000000000566769E-01
  5.250498893813363432E-01  9.999999999999997780E-01  2.236681988211027949E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  2.494516476335599161E-11  2.500000000000581757E-01
  5.390251290420359220E-01  9.999999999999998890E-01  2.236681988098404077E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  2.494369761122806750E-11  2.500000000000596745E-01
  5.530003669327590021E-01  9.999999999999996669E-01  2.236681988026745679E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250032772E-01  2.494223054423251221E-11  2.500000000000611178E-01
  5.669756066044104870E-01  1.000000000000000000E+00  2.236681988048414903E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  2.494076356238126493E-11  2.500000000000626166E-01
  5.809508445060790338E-01  9.999999999999997780E-01  2.236681987931586628E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033327E-01  2.493929666744979775E-11  2.500000000000640599E-01
  5.949260841885494200E-01  9.999999999999997780E-01  2.236681987809839536E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  2.493782985992549778E-11  2.500000000000655587E-01
  6.089013221010671773E-01  9.999999999999996669E-01  2.236681987697268979E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  2.493636314042243675E-11  2.500000000000671130E-01
  6.228765617944124200E-01  9.999999999999998890E-01  2.236681987609184583E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  2.493489650738455870E-11  2.500000000000685563E-01
  6.368517997179813372E-01  9.999999999999993339E-01  2.236681987648516375E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  2.493342995972964318E-11  2.500000000000699996E-01
  6.508270394224041633E-01  9.999999999999994449E-01  2.236681987660674314E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  2.493196349568246044E-11  2.500000000000714429E-01
  6.648022773571636845E-01  9.999999999999993339E-01  2.236681987547501143E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  2.493049711552565744E-11  2.500000000000729417E-01
  6.787775170726003671E-01  9.999999999999991118E-01  2.236681987309989155E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  2.492903082010169180E-11  2.500000000000743849E-01
  6.927527550182992488E-01  9.999999999999992228E-01  2.236681987368825284E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  2.492756461171391901E-11  2.500000000000759393E-01
  7.067279947444639054E-01  9.999999999999994449E-01  2.236681987468454665E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250033882E-01  2.492609849174483253E-11  2.500000000000773825E-01
  7.207032327008527917E-01  9.999999999999995559E-01  2.236681987541512485E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250034438E-01  2.492463246127557680E-11  2.500000000000788258E-01
