  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.000000000000002665E+00  2.236678582510505625E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.500034162190237684E-11  2.500000000000032752E-01
  4.122781822141604637E-03  1.000000000000002665E+00  2.236678582510505625E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.497995616184389141E-11  2.500000000000236478E-01
  1.111040112377878301E-02  1.000000000000002665E+00  2.236678582679912214E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.494532407398807832E-11  2.500000000000582867E-01
  1.809802092249598177E-02  1.000000000000002442E+00  2.236678582595208920E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.491033766446231003E-11  2.500000000000932587E-01
  2.508564105899487029E-02  1.000000000000002665E+00  2.236678582468153978E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.487511816084154294E-11  2.500000000001284528E-01
  3.207326154627145737E-02  1.000000000000002665E+00  2.236678582510505625E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.483971957210427863E-11  2.500000000001638134E-01
  3.906088235919787099E-02  1.000000000000002665E+00  2.236678582510505625E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.480398957307343917E-11  2.500000000001995626E-01
  4.604850345193546579E-02  1.000000000000002442E+00  2.236678582510505625E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.476816730191446502E-11  2.500000000002353673E-01
  5.303612486238397372E-02  1.000000000000002220E+00  2.236678582510505625E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.473239425504905131E-11  2.500000000002711720E-01
  6.002374650849927329E-02  1.000000000000002442E+00  2.236678582468153978E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.469624603266506555E-11  2.500000000003073652E-01
  6.701136846295313587E-02  1.000000000000002220E+00  2.236678582489329801E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.465927965097196117E-11  2.500000000003442802E-01
  7.399899062400998317E-02  1.000000000000002665E+00  2.236678582404626507E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.462243049912764960E-11  2.500000000003811396E-01
  8.098661308374717482E-02  1.000000000000002220E+00  2.236678582319923212E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.458460065567209262E-11  2.500000000004189982E-01
  8.797423572950392734E-02  1.000000000000002220E+00  2.236678582192868270E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.454692609410104352E-11  2.500000000004567458E-01
  9.496185866454065483E-02  1.000000000000002442E+00  2.236678582330511124E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.450915801228919598E-11  2.500000000004944933E-01
  1.019494817702526895E-01  1.000000000000002665E+00  2.236678582399332551E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.447087965601557349E-11  2.500000000005327405E-01
  1.089371051562528087E-01  1.000000000000002220E+00  2.236678582446978154E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.443321830574475622E-11  2.500000000005704326E-01
  1.159247287010860272E-01  1.000000000000002220E+00  2.236678582526387493E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.439484665368142274E-11  2.500000000006088463E-01
  1.229123525176939319E-01  1.000000000000002220E+00  2.236678582574033096E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.435711745458858620E-11  2.500000000006465384E-01
  1.298999764837451276E-01  1.000000000000002220E+00  2.236678582563445184E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.431892086860198217E-11  2.500000000006847856E-01
  1.368876007135825801E-01  1.000000000000002220E+00  2.236678582616384743E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.428118027236143874E-11  2.500000000007224776E-01
  1.438752250852365078E-01  1.000000000000002220E+00  2.236678582658736391E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.424317764164390138E-11  2.500000000007605028E-01
  1.508628497131210000E-01  1.000000000000001998E+00  2.236678582658736391E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.420551645873393635E-11  2.500000000007981393E-01
  1.578504744765679979E-01  1.000000000000001998E+00  2.236678582658736391E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.416759250013115523E-11  2.500000000008361090E-01
  1.648380994891603113E-01  1.000000000000001776E+00  2.236678582637560567E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.412992408724597333E-11  2.500000000008737455E-01
  1.718257246320813447E-01  1.000000000000001998E+00  2.236678582679912214E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.409195480993960751E-11  2.500000000009117151E-01
  1.788133500174361734E-01  1.000000000000002220E+00  2.236678582849318804E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.405391723259531029E-11  2.500000000009497958E-01
  1.858009755287255427E-01  1.000000000000001776E+00  2.236678582722263862E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.401561606784114758E-11  2.500000000009880985E-01
  1.927886012760894330E-01  1.000000000000001776E+00  2.236678583061077041E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.397686401240720186E-11  2.500000000010267898E-01
  1.997762271456475225E-01  1.000000000000001776E+00  2.236678583018725393E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.393762847505518077E-11  2.500000000010660361E-01
  2.067638532452517608E-01  1.000000000000001998E+00  2.236678582806967156E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.389806030315885193E-11  2.500000000011056711E-01
  2.137514794638259441E-01  1.000000000000001776E+00  2.236678582891670451E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.385774747132271523E-11  2.500000000011459722E-01
  2.207391059067157491E-01  1.000000000000001554E+00  2.236678582934022099E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250037213E-01  2.381724267392541194E-11  2.500000000011864398E-01
  2.277267324657747671E-01  1.000000000000001332E+00  2.236678582891670451E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.377592648562480785E-11  2.500000000012277401E-01
