  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.000000000000002665E+00  2.236677736811635263E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033997694417581E-11  2.500000000000032752E-01
  2.131266934124517471E-03  1.000000000000002442E+00  2.236677736832811086E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033974575999975E-11  2.500000000000032196E-01
  5.625076280149561223E-03  1.000000000000002665E+00  2.236677736875162734E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250035548E-01  2.500033936705647524E-11  2.500000000000032196E-01
  9.118885653264038535E-03  1.000000000000002665E+00  2.236677737044569323E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033898853972231E-11  2.500000000000032752E-01
  1.261269499928443887E-02  1.000000000000002665E+00  2.236677736981041852E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033861009027796E-11  2.500000000000032752E-01
  1.610650437239160779E-02  1.000000000000002665E+00  2.236677736938690205E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033823164745106E-11  2.500000000000032752E-01
  1.960031371840278286E-02  1.000000000000002665E+00  2.236677737044569323E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033785320674058E-11  2.500000000000033307E-01
  2.309412309149872986E-02  1.000000000000002442E+00  2.236677737108096794E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033747475377103E-11  2.500000000000032752E-01
  2.658793243749734900E-02  1.000000000000002665E+00  2.236677737108096794E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033709627513625E-11  2.500000000000032752E-01
  3.008174181057955351E-02  1.000000000000002665E+00  2.236677737139860530E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033671776667774E-11  2.500000000000032752E-01
  3.357555115656378486E-02  1.000000000000002665E+00  2.236677737203388001E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033633924529776E-11  2.500000000000032752E-01
  3.706936052963143158E-02  1.000000000000002665E+00  2.236677737182212177E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033596070565519E-11  2.500000000000033307E-01
  4.056316987560128901E-02  1.000000000000002665E+00  2.236677737182212177E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033558216910162E-11  2.500000000000033307E-01
  4.405697924865532161E-02  1.000000000000002665E+00  2.236677737055157235E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033520364000236E-11  2.500000000000033307E-01
  4.755078859461241148E-02  1.000000000000002665E+00  2.236677737065745147E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033482512763090E-11  2.500000000000033307E-01
  5.104459796765518226E-02  1.000000000000002665E+00  2.236677737198094045E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033444662316612E-11  2.500000000000033307E-01
  5.453840731360243277E-02  1.000000000000002665E+00  2.236677737115375984E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036103E-01  2.500033406815622820E-11  2.500000000000033307E-01
  5.803221668663743199E-02  1.000000000000002887E+00  2.236677737167653798E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033368972020938E-11  2.500000000000033307E-01
  6.152602603257866648E-02  1.000000000000002887E+00  2.236677737248386626E-11  0.000000000000000000E+00  0.000000000000000000E+00  2.500000000250036658E-01  2.500033331132932684E-11  2.500000000000033307E-01
